id,time,x,y,z,pulse
134,4251.0,-0.06,0.07,0.58,334.0
135,4283.0,-0.06,0.06,0.57,334.0
136,4316.0,-0.07,0.04,0.58,335.0
137,4347.0,-0.06,0.05,0.57,334.0
138,4380.0,-0.06,0.05,0.58,333.0
139,4412.0,-0.06,0.06,0.56,333.0
140,4445.0,-0.06,0.06,0.57,335.0
141,4476.0,-0.05,0.07,0.59,333.0
142,4509.0,-0.04,0.07,0.59,331.0
143,4541.0,-0.04,0.08,0.58,331.0
144,4573.0,-0.05,0.07,0.57,332.0
145,4605.0,-0.05,0.07,0.59,333.0
146,4637.0,-0.06,0.06,0.57,333.0
147,4670.0,-0.05,0.07,0.58,333.0
148,4702.0,-0.05,0.06,0.58,333.0
149,4734.0,-0.06,0.06,0.59,334.0
150,4766.0,-0.06,0.05,0.56,332.0
151,4799.0,-0.06,0.06,0.58,334.0
152,4831.0,-0.07,0.05,0.58,333.0
153,4864.0,-0.05,0.07,0.58,333.0
154,4895.0,-0.05,0.06,0.58,331.0
155,4928.0,-0.06,0.05,0.58,332.0
156,4960.0,-0.05,0.07,0.59,334.0
157,4993.0,-0.05,0.07,0.59,334.0
158,5024.0,-0.04,0.08,0.59,331.0
159,5056.0,-0.05,0.08,0.6,332.0
160,5089.0,-0.05,0.07,0.59,333.0
161,5121.0,-0.04,0.08,0.59,334.0
162,5153.0,-0.05,0.06,0.58,334.0
163,5185.0,-0.06,0.08,0.58,335.0
164,5218.0,-0.05,0.06,0.59,332.0
165,5250.0,-0.05,0.06,0.57,330.0
166,5282.0,-0.06,0.06,0.58,331.0
167,5314.0,-0.06,0.05,0.57,333.0
168,5347.0,-0.06,0.06,0.58,333.0
169,5379.0,-0.07,0.05,0.58,333.0
170,5411.0,-0.05,0.06,0.59,334.0
171,5443.0,-0.05,0.07,0.58,333.0
172,5475.0,-0.04,0.07,0.57,332.0
173,5508.0,-0.04,0.07,0.57,333.0
174,5539.0,-0.04,0.08,0.58,334.0
175,5572.0,-0.05,0.06,0.59,332.0
176,5604.0,-0.05,0.06,0.56,332.0
177,5637.0,-0.04,0.08,0.59,331.0
178,5668.0,-0.06,0.06,0.58,332.0
179,5701.0,-0.06,0.05,0.57,334.0
180,5733.0,-0.05,0.05,0.59,333.0
181,5766.0,-0.05,0.06,0.58,332.0
182,5797.0,-0.05,0.05,0.57,332.0
183,5830.0,-0.06,0.04,0.57,333.0
184,5862.0,-0.06,0.06,0.59,334.0
185,5895.0,-0.05,0.06,0.59,336.0
186,5926.0,-0.05,0.08,0.59,333.0
187,5958.0,-0.03,0.06,0.58,330.0
188,5991.0,-0.04,0.07,0.57,331.0
189,6023.0,-0.04,0.08,0.58,332.0
190,6055.0,-0.05,0.08,0.6,334.0
191,6087.0,-0.04,0.07,0.58,333.0
192,6120.0,-0.05,0.07,0.58,332.0
193,6152.0,-0.06,0.07,0.59,333.0
194,6184.0,-0.06,0.07,0.59,334.0
195,6216.0,-0.06,0.07,0.59,333.0
196,6249.0,-0.06,0.05,0.58,333.0
197,6281.0,-0.06,0.06,0.58,334.0
198,6313.0,-0.05,0.04,0.58,332.0
199,6345.0,-0.06,0.06,0.58,331.0
200,6377.0,-0.06,0.05,0.58,332.0
201,6410.0,-0.05,0.07,0.58,335.0
202,6441.0,-0.04,0.08,0.59,335.0
203,6474.0,-0.05,0.08,0.57,331.0
204,6506.0,-0.05,0.07,0.59,330.0
205,6539.0,-0.05,0.07,0.6,332.0
206,6571.0,-0.05,0.08,0.59,334.0
207,6603.0,-0.06,0.07,0.6,335.0
208,6635.0,-0.05,0.08,0.6,333.0
209,6668.0,-0.04,0.06,0.58,330.0
210,6700.0,-0.06,0.07,0.59,332.0
211,6732.0,-0.07,0.06,0.57,332.0
212,6764.0,-0.05,0.05,0.57,333.0
213,6796.0,-0.06,0.06,0.59,334.0
214,6829.0,-0.05,0.05,0.57,332.0
215,6860.0,-0.07,0.05,0.57,332.0
216,6893.0,-0.05,0.07,0.59,333.0
217,6925.0,-0.04,0.07,0.59,333.0
218,6958.0,-0.04,0.08,0.6,333.0
219,6989.0,-0.03,0.07,0.58,332.0
220,7022.0,-0.06,0.07,0.6,332.0
221,7054.0,-0.05,0.06,0.59,332.0
222,7087.0,-0.04,0.07,0.58,334.0
223,7118.0,-0.05,0.06,0.58,335.0
224,7151.0,-0.05,0.07,0.58,333.0
225,7183.0,-0.06,0.06,0.59,331.0
226,7216.0,-0.06,0.06,0.59,331.0
227,7247.0,-0.05,0.05,0.57,331.0
228,7279.0,-0.06,0.07,0.59,333.0
229,7312.0,-0.06,0.06,0.57,334.0
230,7344.0,-0.06,0.06,0.58,334.0
231,7376.0,-0.04,0.05,0.58,333.0
232,7408.0,-0.05,0.07,0.58,330.0
233,7441.0,-0.04,0.08,0.59,333.0
234,7473.0,-0.03,0.08,0.6,335.0
235,7505.0,-0.05,0.07,0.59,336.0
236,7537.0,-0.05,0.06,0.58,334.0
237,7570.0,-0.06,0.07,0.59,334.0
238,7602.0,-0.05,0.08,0.59,333.0
239,7634.0,-0.06,0.07,0.6,334.0
240,7666.0,-0.06,0.06,0.56,332.0
241,7698.0,-0.06,0.07,0.58,331.0
242,7731.0,-0.07,0.07,0.59,330.0
243,7762.0,-0.07,0.05,0.57,332.0
244,7795.0,-0.08,0.06,0.59,335.0
245,7827.0,-0.06,0.06,0.59,335.0
246,7860.0,-0.05,0.05,0.57,334.0
247,7891.0,-0.03,0.07,0.58,333.0
248,7924.0,-0.04,0.08,0.59,332.0
249,7956.0,-0.03,0.09,0.59,334.0
250,7989.0,-0.04,0.08,0.58,333.0
251,8020.0,-0.07,0.05,0.58,334.0
252,8053.0,-0.05,0.08,0.58,333.0
253,8085.0,-0.05,0.06,0.57,333.0
254,8118.0,-0.05,0.05,0.58,331.0
255,8150.0,-0.05,0.06,0.58,331.0
256,8181.0,-0.06,0.05,0.58,334.0
257,8214.0,-0.07,0.05,0.58,332.0
258,8246.0,-0.06,0.06,0.58,331.0
259,8279.0,-0.06,0.07,0.59,332.0
260,8310.0,-0.05,0.07,0.58,333.0
261,8343.0,-0.05,0.06,0.57,333.0
262,8375.0,-0.06,0.07,0.58,333.0
263,8408.0,-0.04,0.08,0.6,334.0
264,8439.0,-0.04,0.07,0.58,333.0
265,8472.0,-0.05,0.07,0.58,332.0
266,8504.0,-0.06,0.06,0.58,334.0
267,8537.0,-0.05,0.06,0.59,335.0
268,8568.0,-0.05,0.07,0.58,338.0
269,8600.0,-0.05,0.06,0.59,337.0
270,8633.0,-0.06,0.08,0.59,334.0
271,8665.0,-0.05,0.04,0.57,333.0
272,8697.0,-0.06,0.05,0.59,336.0
273,8729.0,-0.06,0.06,0.58,334.0
274,8762.0,-0.05,0.05,0.58,332.0
275,8794.0,-0.06,0.06,0.57,331.0
276,8826.0,-0.06,0.06,0.58,330.0
277,8858.0,-0.06,0.07,0.59,332.0
278,8891.0,-0.04,0.08,0.61,333.0
279,8923.0,-0.04,0.07,0.59,332.0
280,8955.0,-0.05,0.07,0.58,332.0
281,8987.0,-0.04,0.07,0.59,330.0
282,9020.0,-0.05,0.06,0.58,330.0
283,9052.0,-0.05,0.06,0.57,334.0
284,9083.0,-0.05,0.06,0.59,333.0
285,9116.0,-0.05,0.06,0.59,332.0
286,9148.0,-0.06,0.06,0.58,334.0
287,9181.0,-0.07,0.06,0.58,333.0
288,9212.0,-0.07,0.03,0.57,332.0
289,9245.0,-0.07,0.06,0.59,332.0
290,9277.0,-0.05,0.06,0.57,334.0
291,9310.0,-0.05,0.05,0.58,333.0
292,9341.0,-0.05,0.07,0.59,333.0
293,9374.0,-0.04,0.08,0.59,333.0
294,9406.0,-0.04,0.07,0.58,332.0
295,9439.0,-0.06,0.08,0.59,331.0
296,9470.0,-0.04,0.07,0.6,333.0
297,9502.0,-0.05,0.07,0.59,333.0
298,9535.0,-0.04,0.07,0.58,332.0
299,9567.0,-0.05,0.06,0.59,331.0
300,9600.0,-0.05,0.07,0.59,334.0
301,9631.0,-0.07,0.05,0.57,333.0
302,9664.0,-0.06,0.06,0.58,331.0
303,9696.0,-0.06,0.05,0.58,331.0
304,9729.0,-0.06,0.05,0.58,331.0
305,9760.0,-0.07,0.06,0.57,335.0
306,9793.0,-0.07,0.05,0.57,335.0
307,9825.0,-0.06,0.06,0.58,333.0
308,9858.0,-0.04,0.07,0.59,330.0
309,9889.0,-0.04,0.07,0.57,332.0
310,9922.0,-0.04,0.07,0.58,334.0
311,9954.0,-0.05,0.07,0.59,335.0
312,9986.0,-0.05,0.06,0.59,334.0
313,10018.0,-0.05,0.06,0.57,333.0
314,10050.0,-0.06,0.08,0.58,333.0
315,10083.0,-0.06,0.07,0.59,333.0
316,10115.0,-0.06,0.07,0.59,332.0
317,10147.0,-0.06,0.07,0.59,331.0
318,10179.0,-0.07,0.05,0.57,330.0
319,10212.0,-0.07,0.05,0.57,336.0
320,10245.0,-0.05,0.06,0.57,337.0
321,10276.0,-0.06,0.05,0.59,335.0
322,10309.0,-0.06,0.06,0.58,331.0
323,10341.0,-0.05,0.06,0.58,326.0
324,10374.0,-0.04,0.08,0.57,327.0
325,10405.0,-0.03,0.07,0.58,332.0
326,10438.0,-0.04,0.07,0.57,331.0
327,10470.0,-0.05,0.07,0.59,334.0
328,10503.0,-0.05,0.06,0.58,336.0
329,10534.0,-0.05,0.06,0.57,335.0
330,10567.0,-0.06,0.07,0.59,334.0
331,10599.0,-0.05,0.08,0.6,331.0
332,10632.0,-0.05,0.07,0.58,333.0
333,10663.0,-0.04,0.06,0.58,332.0
334,10696.0,-0.06,0.05,0.58,332.0
335,10728.0,-0.06,0.04,0.57,332.0
336,10761.0,-0.06,0.05,0.58,333.0
337,10792.0,-0.07,0.05,0.58,333.0
338,10825.0,-0.05,0.06,0.58,335.0
339,10857.0,-0.05,0.08,0.59,334.0
340,10890.0,-0.04,0.08,0.6,330.0
341,10921.0,-0.04,0.08,0.59,330.0
342,10954.0,-0.05,0.08,0.59,331.0
343,10986.0,-0.06,0.07,0.58,334.0
344,11019.0,-0.06,0.06,0.58,334.0
345,11051.0,-0.05,0.07,0.57,334.0
